,연도,아티스트,제목,장르,가사
0,1980,조용필,창밖의 여자,가요 / 발라드,창가에 서면  눈물처럼 떠오르는 그대의 흰손  돌아서 눈감으면 강물이어라  한줄기 바람되어 거리에 서면  그대는 가로등 되어 내 곁에 머무네  누가 사랑을 아름답다 했는가  누가 사랑을 아름답다 했는가  차라리 차라리 그대의 흰 손으로  나를 잠들게 하라
1,1980,조용필,단발머리,가요 / 전체,그 언젠가 나를 위해 꽃다발을 전해주던 그 소녀  오늘따라 왜 이렇게 그 소녀가 보고싶을까  비에 젖은 풀잎처럼 단발머리 곱게 빗은 그소녀  반짝이던 눈망울이 내 마음에 되살아 나네  내마음 외로워질때면 그날을 생각하고  그날이 그리워질때면 꿈길을 헤매는데  우~~~~~  못잊을 그리움 남기고  그소녀 데려간 세월이 미워라
2,1980,조용필,사랑은 아직도 끝나지 않았네,가요 / 트로트,다시는 생각을 말자 생각을 말자고  그렇게 애타던 말 한마디 못하고  잊어야 잊어야만 될 사랑이기에  깨끗이 묻어버린 내 청춘이건만  그래도 못잊어 나 홀로 불러보네  사랑은 아직도 끝나지 않았네
3,1980,함중아,풍문으로 들었소,가요 / 트로트,그대없는 나날들이  그얼마나 외로웠나 멀리있는 그대생각  이밤따라 길어지네 하얀얼굴 그리울때  내마음에 그려보며 우리다시 만날날을  손꼽으며 기다렸네 우~우~ 풍문으로 들었소 그대에게 애인이  생겼다는 그말을 우~우~ 풍문으로 들었소 내마음은 서러워  나는 울고 말았네 하루이틀 지나가고  그대 진실 알았을때 내 사랑 가득담아  그대에게 보내주리 우~우~ 풍문으로 들었소 우~우~ 풍문으로 들었소 그대없는 나날들이  그얼마나 외로웠나 멀리있는 그대생각  이밤따라 길어지네 하얀얼굴 그리울때  내마음에 그려보며 우리다시 만날날을  손꼽으며 기다렸네 우~우~ 풍문으로 들었소 그대에게 애인이  생겼다는 그말을 우~우~ 풍문으로 들었소 내마음은 서러워  나는 울고 말았네 하루이틀 지나가고  그대 진실 알았을때 내 사랑 가득담아  그대에게 보내주리 우~우~ 풍문으로 들었소 우~우~ 풍문으로 들었소~
4,1980,산울림,창문 너머 어렴풋이 옛 생각이 나겠지요 ,가요 / 락,그런 슬픈 눈으로 나를 보지 말아요 가버린 날들이지만 잊혀지진 않을 거예요 오늘처럼 비가 내리면은 창문너머 어렴풋이 옛 생각이 나겠지요 그런 슬픈 눈으로 나를 보지 말아요 가버린 날들이지만 잊혀지진 않을 거예요 생각나면 들러봐요 조그만 길모퉁이 찻집 아직도 흘러나오는 노래는 옛 향기겠지요
5,1980,윤시내,고목,가요 / 트로트,갈길 멀다 쉬어가는 곳 구름처럼 머물다가는 곳 산굽이 돌아 밤이오면 하늘가에 그리움 일던 곳 그 그사람 지금 어디에 어디에 있나 어느 어느 하늘 아래 무엇을 무엇을 할까 어린시절 고목 여전한데 나만 홀로 여기에 서있네 그 그사람 지금 어디에 어디에 있나 어느 어느 하늘 아래 무엇을 무엇을 할까 어린시절 고목 여전한데 나만 홀로 여기에 서있네 나만 홀로 여기에 서있네 
6,1980,Nami (나미),영원한 친구,가요 / 트로트,"파란하늘 맴도는 비둘기 날개처럼  우리들의 마음은 하늘을 날아가요  서로 다같이 웃으면서 밝은 내일의  오 꿈을 키우며 살아요  오!영원한 친구 오!행복한 마음 오!즐거운 인생 야,  오!영원한 친구 오!행복한 마음 오!즐거운 인생 야!  넓고 넓은 밤하늘 수많은 별들처럼,  우리모두 다정한 친구가 되었어요.  서로다같이 손을 잡고,  즐거운 노래,행복의 노래불러요.  오!영원한 친구 오!행복한 마음 오!즐거운 인생 야,  오!영원한 친구 오!행복한 마음 오!즐거운 인생 야!  오!영원한 친구 오!행복한 마음 오!즐거운 인생 야!  오!영원한 친구 오!행복한 마음 오!즐거운 인생 야! "
7,1980,Nami (나미),미운정 고운정,가요 / 트로트,떠나갑니다 나를 두고 갑니다  미운정 고운정을 남기고 떠납니다  돌아올 기약없는  연락선 뱃머리는 멀어지는데  내마음 구름이 되어  당신을 따라갑니다  당신은 이 가슴에  미운정 고운정을 남겨놓았네  노을진 바닷가에서  당신을 불러봅니다  당신을 불러봅니다  
8,1980,계은숙,기다리는 여심,가요 / 트로트,내 마음 왜로울땐 눈을 감아요 자꾸만 떠오르는 그대 생각에 가슴에 느껴지는 사랑에숨결 멀리서 아득하게 전해 오내요  사랑이 끝났을 때에 남겨진 이야기는 시들은 꽃잎처럼~~ 흐르는 세월이 아쉬워 하겠지  내마음 서러울땐 하늘을 봐요  흐르는 구름 위에 마음 띄우며 내곁에 와달라고 기원하면서  오늘도 기다리는 여인입니다. 사랑이 끝났을 때에 남겨진 이야기는 시들은 꽃잎처럼~~ 흐르는 세월이 아쉬워 하겠지 내마음 서러울땐 하늘을 봐요 흐르는 구름 위에 마음 띄우며 내곁에 와달라고 기원하면서  오늘도 기다리는 여인입니다. 오늘도 기다리는 여인입니다. 오늘도 기다리는 여인입니다. 
9,1980,심수봉,당신은 누구시길래,가요 / 트로트,당신은 누구시길래 내마음 가져갔나요 당신때문에 울고 있어요 당신 때문에 울고 있어요 당신은 누구시길래 내마음 애태우나요 거울에 비친 그리움은 누구일까 다가와 눈을 보면 알수가 있을 꺼예요 누구시길래 믿고 싶을까 누구시길래 사랑했을까 당신은 누구시길래 내마음 가져 갔나요 당신은 누구시길래 내마음 가져갔나요 당신때문에 울고 있어요 당신 때문에 울고 있어요 당신은 누구시길래 내마음 애태우나요 세월이 흐른 지금에도 다정했던 그날의 우리사랑 지울수 없을 꺼예요 믿었었기에 사랑했었고 사랑했기에 슬퍼했었지 당신은 누구시길래 내마음 가져 갔나요
